"Klarna checkout is not available for %s, country was changed to %s.","Klarna är inte tillgänglig för %s, landet ändrades till %s."
"Checkout was reloaded.","Kassan laddades om"
"The Klarna Checkout is not enabled, please use an alternative checkout method.","Klarna Checkout är inte aktiverad, var god använd ett annat betalsätt."
"The Klarna Checkout is NOT available (no allowed country), please use an alternative checkout method.","Klarna Checkout är INTE tillgänglig (ej tillåtet land), var god använd den alternatva kassan.."
"The cart has no items (or has errors).","Varukorgen har inga varor (eller fel)"
"Subtotal must exceed minimum order amount.","Delsumman måste överstiga minsta ordervärde."
"Country is not set.","Land är inte inställt."
"Klarna Checkout is not available for country (%s).","Klarna Checkout är inte tillgänglig för detta land (%s)"
"Klarna Checkout requires the currency to be %s but is not available, please use an alternative checkout.","Klarna Checkout kräver att valutan ska vara %s och detta är inte tillgängligt, var god använd en annan kassa."
"Currency was changed to %s (cannot use %s for  %s).","Valuta ändrades till %s (kan inte använda %s för %s)"
"Invalid country (%s)","Felakrigt land (%s)"
"Checkout incomplete, missing reservation.","Kassan är inkomplett, saknar reservation"
"Checkout incomplete, no items.","Kassan är inkomplett, inga varor"
"Checkout incomplete, missing shipping_address.","Kassan är inkomplett, saknar leveransadress"
"Checkout incomplete, missing billing_address.","Kassan är inkomplett, saknar fakturaadress"
"Subscription for guests is not allowed.","Prenumeration för gäster är inte tillåtet"
"There already is a user subscribed with this email.","Det finns redan en prenumerant med denna e-post."
"Cannot cancel Klarna Reservation %s.","Kunde inte annullera Klarna reservation %s"
"Klarna reservation %s was CANCELED.","Klarna reservation %s annullerades."
"Klarna reservation %s cannot be detached. You have %s pending invoice(s).","Klarna reservation %s kunde inte annuleras. Du har %s fakturor som väntar på gransking."
"Klarna reservation %s was detached from the order.<br />All (Klarna) payment operations from now on (activating the order, invoicing etc.) have to be performed offline (on the Klarna Site).<br />","Klarna reservation %s was detached from the order.<br />All (Klarna) payment operations from now on (activating the order, invoicing etc.) have to be performed offline (on the Klarna Site).<br />"
"Authorize action is not available.","Auktorisera kommandot är inte tillgängligt."
"Klarna Reservation %s was CREATED.","Klarna Reservation %s skapades."
"The Klarna order cannot be activated: %s.","Klarna ordern kunde inte aktiveras: %s."
"Klarna Reservation %s was ACTIVATED; Risk: %s","Klarna Reservationen %s aktiverades; Risk %s."
"Refund action is not available.","Återbetalning är inte tillgängligt."
"Unknown transaction.","Okänd transaktion."
"The Klarna order cannot be refunded: %s.","Klarna order kunde inte återbetalas: %s."
"Klarna Invoice %s was refunded.","Klarna Faktura %s är återbetald."
